date,daily_revenue,asin_id,title,price,average_rating,num_reviews
2017-11-29,17.99,B07TVHSDMQ,Funny Civil Engineers TShirt I'm A Crazy Civil Engineering T-Shirt,17.99,4.7,7
2017-12-01,17.99,B07TVHSDMQ,Funny Civil Engineers TShirt I'm A Crazy Civil Engineering T-Shirt,17.99,4.7,7
2017-12-09,17.99,B07TVHSDMQ,Funny Civil Engineers TShirt I'm A Crazy Civil Engineering T-Shirt,17.99,4.7,7
2017-12-15,35.98,B07TVHSDMQ,Funny Civil Engineers TShirt I'm A Crazy Civil Engineering T-Shirt,17.99,4.7,7
2017-12-16,35.98,B07TVHSDMQ,Funny Civil Engineers TShirt I'm A Crazy Civil Engineering T-Shirt,17.99,4.7,7
2017-12-20,17.99,B07TVHSDMQ,Funny Civil Engineers TShirt I'm A Crazy Civil Engineering T-Shirt,17.99,4.7,7
2017-12-21,17.99,B07TVHSDMQ,Funny Civil Engineers TShirt I'm A Crazy Civil Engineering T-Shirt,17.99,4.7,7
2017-12-22,17.99,B07TVHSDMQ,Funny Civil Engineers TShirt I'm A Crazy Civil Engineering T-Shirt,17.99,4.7,7
2017-12-23,71.96,B07TVHSDMQ,Funny Civil Engineers TShirt I'm A Crazy Civil Engineering T-Shirt,17.99,4.7,7
2017-12-24,17.99,B07TVHSDMQ,Funny Civil Engineers TShirt I'm A Crazy Civil Engineering T-Shirt,17.99,4.7,7
2017-12-25,17.99,B07TVHSDMQ,Funny Civil Engineers TShirt I'm A Crazy Civil Engineering T-Shirt,17.99,4.7,7
2017-12-26,35.98,B07TVHSDMQ,Funny Civil Engineers TShirt I'm A Crazy Civil Engineering T-Shirt,17.99,4.7,7
2017-12-27,53.97,B07TVHSDMQ,Funny Civil Engineers TShirt I'm A Crazy Civil Engineering T-Shirt,17.99,4.7,7
2017-12-28,125.92999999999998,B07TVHSDMQ,Funny Civil Engineers TShirt I'm A Crazy Civil Engineering T-Shirt,17.99,4.7,7
2017-12-29,215.88000000000002,B07TVHSDMQ,Funny Civil Engineers TShirt I'm A Crazy Civil Engineering T-Shirt,17.99,4.7,7
2017-12-30,53.97,B07TVHSDMQ,Funny Civil Engineers TShirt I'm A Crazy Civil Engineering T-Shirt,17.99,4.7,7
2018-01-01,35.98,B07TVHSDMQ,Funny Civil Engineers TShirt I'm A Crazy Civil Engineering T-Shirt,17.99,4.7,7
2018-01-03,17.99,B07TVHSDMQ,Funny Civil Engineers TShirt I'm A Crazy Civil Engineering T-Shirt,17.99,4.7,7
2018-01-04,71.96,B07TVHSDMQ,Funny Civil Engineers TShirt I'm A Crazy Civil Engineering T-Shirt,17.99,4.7,7
2018-01-05,35.98,B07TVHSDMQ,Funny Civil Engineers TShirt I'm A Crazy Civil Engineering T-Shirt,17.99,4.7,7
2018-01-06,35.98,B07TVHSDMQ,Funny Civil Engineers TShirt I'm A Crazy Civil Engineering T-Shirt,17.99,4.7,7
2018-01-07,53.97,B07TVHSDMQ,Funny Civil Engineers TShirt I'm A Crazy Civil Engineering T-Shirt,17.99,4.7,7
2018-01-08,35.98,B07TVHSDMQ,Funny Civil Engineers TShirt I'm A Crazy Civil Engineering T-Shirt,17.99,4.7,7
2018-01-09,107.93999999999998,B07TVHSDMQ,Funny Civil Engineers TShirt I'm A Crazy Civil Engineering T-Shirt,17.99,4.7,7
2018-01-10,71.96,B07TVHSDMQ,Funny Civil Engineers TShirt I'm A Crazy Civil Engineering T-Shirt,17.99,4.7,7
2018-01-11,557.6900000000002,B07TVHSDMQ,Funny Civil Engineers TShirt I'm A Crazy Civil Engineering T-Shirt,17.99,4.7,7
2018-01-12,143.92,B07TVHSDMQ,Funny Civil Engineers TShirt I'm A Crazy Civil Engineering T-Shirt,17.99,4.7,7
2018-01-13,89.94999999999999,B07TVHSDMQ,Funny Civil Engineers TShirt I'm A Crazy Civil Engineering T-Shirt,17.99,4.7,7
2018-01-14,89.94999999999999,B07TVHSDMQ,Funny Civil Engineers TShirt I'm A Crazy Civil Engineering T-Shirt,17.99,4.7,7
2018-01-15,125.92999999999998,B07TVHSDMQ,Funny Civil Engineers TShirt I'm A Crazy Civil Engineering T-Shirt,17.99,4.7,7
2018-01-16,107.93999999999998,B07TVHSDMQ,Funny Civil Engineers TShirt I'm A Crazy Civil Engineering T-Shirt,17.99,4.7,7
2018-01-17,233.87000000000003,B07TVHSDMQ,Funny Civil Engineers TShirt I'm A Crazy Civil Engineering T-Shirt,17.99,4.7,7
2018-01-18,35.98,B07TVHSDMQ,Funny Civil Engineers TShirt I'm A Crazy Civil Engineering T-Shirt,17.99,4.7,7
2018-01-19,179.9,B07TVHSDMQ,Funny Civil Engineers TShirt I'm A Crazy Civil Engineering T-Shirt,17.99,4.7,7
2018-01-20,71.96,B07TVHSDMQ,Funny Civil Engineers TShirt I'm A Crazy Civil Engineering T-Shirt,17.99,4.7,7
2018-01-21,53.97,B07TVHSDMQ,Funny Civil Engineers TShirt I'm A Crazy Civil Engineering T-Shirt,17.99,4.7,7
2018-01-22,107.93999999999998,B07TVHSDMQ,Funny Civil Engineers TShirt I'm A Crazy Civil Engineering T-Shirt,17.99,4.7,7
2018-01-23,161.91,B07TVHSDMQ,Funny Civil Engineers TShirt I'm A Crazy Civil Engineering T-Shirt,17.99,4.7,7
2018-01-24,125.92999999999998,B07TVHSDMQ,Funny Civil Engineers TShirt I'm A Crazy Civil Engineering T-Shirt,17.99,4.7,7
2018-01-25,161.91,B07TVHSDMQ,Funny Civil Engineers TShirt I'm A Crazy Civil Engineering T-Shirt,17.99,4.7,7
2018-01-26,287.84000000000003,B07TVHSDMQ,Funny Civil Engineers TShirt I'm A Crazy Civil Engineering T-Shirt,17.99,4.7,7
2018-01-27,143.92,B07TVHSDMQ,Funny Civil Engineers TShirt I'm A Crazy Civil Engineering T-Shirt,17.99,4.7,7
2018-01-28,35.98,B07TVHSDMQ,Funny Civil Engineers TShirt I'm A Crazy Civil Engineering T-Shirt,17.99,4.7,7
2018-01-29,161.91,B07TVHSDMQ,Funny Civil Engineers TShirt I'm A Crazy Civil Engineering T-Shirt,17.99,4.7,7
2018-01-30,179.9,B07TVHSDMQ,Funny Civil Engineers TShirt I'm A Crazy Civil Engineering T-Shirt,17.99,4.7,7
2018-01-31,323.82000000000005,B07TVHSDMQ,Funny Civil Engineers TShirt I'm A Crazy Civil Engineering T-Shirt,17.99,4.7,7
2018-02-01,233.87000000000003,B07TVHSDMQ,Funny Civil Engineers TShirt I'm A Crazy Civil Engineering T-Shirt,17.99,4.7,7
2018-02-02,161.91,B07TVHSDMQ,Funny Civil Engineers TShirt I'm A Crazy Civil Engineering T-Shirt,17.99,4.7,7
2018-02-03,143.92,B07TVHSDMQ,Funny Civil Engineers TShirt I'm A Crazy Civil Engineering T-Shirt,17.99,4.7,7
2018-02-04,143.92,B07TVHSDMQ,Funny Civil Engineers TShirt I'm A Crazy Civil Engineering T-Shirt,17.99,4.7,7
2018-02-05,143.92,B07TVHSDMQ,Funny Civil Engineers TShirt I'm A Crazy Civil Engineering T-Shirt,17.99,4.7,7
2018-02-06,197.89000000000001,B07TVHSDMQ,Funny Civil Engineers TShirt I'm A Crazy Civil Engineering T-Shirt,17.99,4.7,7
2018-02-07,251.86000000000004,B07TVHSDMQ,Funny Civil Engineers TShirt I'm A Crazy Civil Engineering T-Shirt,17.99,4.7,7
2018-02-08,377.7900000000001,B07TVHSDMQ,Funny Civil Engineers TShirt I'm A Crazy Civil Engineering T-Shirt,17.99,4.7,7
2018-02-09,179.9,B07TVHSDMQ,Funny Civil Engineers TShirt I'm A Crazy Civil Engineering T-Shirt,17.99,4.7,7
2018-02-10,143.92,B07TVHSDMQ,Funny Civil Engineers TShirt I'm A Crazy Civil Engineering T-Shirt,17.99,4.7,7
2018-02-11,215.88000000000002,B07TVHSDMQ,Funny Civil Engineers TShirt I'm A Crazy Civil Engineering T-Shirt,17.99,4.7,7
2018-02-12,107.93999999999998,B07TVHSDMQ,Funny Civil Engineers TShirt I'm A Crazy Civil Engineering T-Shirt,17.99,4.7,7
2018-02-13,215.88000000000002,B07TVHSDMQ,Funny Civil Engineers TShirt I'm A Crazy Civil Engineering T-Shirt,17.99,4.7,7
2018-02-14,305.83000000000004,B07TVHSDMQ,Funny Civil Engineers TShirt I'm A Crazy Civil Engineering T-Shirt,17.99,4.7,7
2018-02-15,269.85,B07TVHSDMQ,Funny Civil Engineers TShirt I'm A Crazy Civil Engineering T-Shirt,17.99,4.7,7
2018-02-16,251.86000000000004,B07TVHSDMQ,Funny Civil Engineers TShirt I'm A Crazy Civil Engineering T-Shirt,17.99,4.7,7
2018-02-17,251.86000000000004,B07TVHSDMQ,Funny Civil Engineers TShirt I'm A Crazy Civil Engineering T-Shirt,17.99,4.7,7
2018-02-18,179.9,B07TVHSDMQ,Funny Civil Engineers TShirt I'm A Crazy Civil Engineering T-Shirt,17.99,4.7,7
2018-02-19,395.7800000000001,B07TVHSDMQ,Funny Civil Engineers TShirt I'm A Crazy Civil Engineering T-Shirt,17.99,4.7,7
2018-02-20,431.7600000000001,B07TVHSDMQ,Funny Civil Engineers TShirt I'm A Crazy Civil Engineering T-Shirt,17.99,4.7,7
2018-02-21,377.7900000000001,B07TVHSDMQ,Funny Civil Engineers TShirt I'm A Crazy Civil Engineering T-Shirt,17.99,4.7,7
2018-02-22,359.80000000000007,B07TVHSDMQ,Funny Civil Engineers TShirt I'm A Crazy Civil Engineering T-Shirt,17.99,4.7,7
2018-02-23,413.7700000000001,B07TVHSDMQ,Funny Civil Engineers TShirt I'm A Crazy Civil Engineering T-Shirt,17.99,4.7,7
2018-02-24,197.89000000000001,B07TVHSDMQ,Funny Civil Engineers TShirt I'm A Crazy Civil Engineering T-Shirt,17.99,4.7,7
2018-02-25,215.88000000000002,B07TVHSDMQ,Funny Civil Engineers TShirt I'm A Crazy Civil Engineering T-Shirt,17.99,4.7,7
2018-02-26,359.80000000000007,B07TVHSDMQ,Funny Civil Engineers TShirt I'm A Crazy Civil Engineering T-Shirt,17.99,4.7,7
2018-02-27,359.80000000000007,B07TVHSDMQ,Funny Civil Engineers TShirt I'm A Crazy Civil Engineering T-Shirt,17.99,4.7,7
