,parent_asin,rating,text,user_id,date,title,price,average_rating,rating_number,categories,features,description,main_category,store,sentiment_score
0,B00024WC7S,5.0,The strap looks nice and feels good to the touch but I ordered the wrong size.  Should have ordered 17mm.  This one is just slightly too wide to fit my watch.  Bummer.,AFP44HHAU6AL4OOITWSSKWXAQWSA,2015-07-24,"Voguestrap, Comfort Strap, Black Genuine Leather Padded (TX48318BK) 18mm Watch Band w/ Silver Buckle",,4.1,327,"['Clothing, Shoes & Jewelry', 'Men', 'Watches', 'Watch Bands']","['Voguestrap Comfort Strap, 18mm Black Genuine Leather Padded Watch Strap w/ Silver Buckle. Watch band replacement or alternate option, for a sleek and comfortable fit.', 'Made from high quality genuine leather and stainless steel, our Comfort Strap leather line brings you long-lasting durability and an up-to-date, fashionable, yet classic look. A comfortable fit with a secure closure, for everyday wear.', 'Voguestrap, winner of the Women’s Choice Award, brings you a vast selection of replacement watchbands - leather, metal, or sport - in a wide variety of colors, styles, and sizes. Replace an old band or accessorize your watch for different looks.', 'For over 75 years, Voguestrap has stood for quality products, loyal service, and unique craftsmanship. We set a new standard in the accessories market by infusing fashion and creativity into every watch strap, offering high-quality, fashionable items.', 'Our watchbands can replace straps on watches such as Moto 360, Asus ZenWatch, LG G Watch, Seiko, Pulsar, Citizen, Casio, Timex, Tissot, Citizen, U.S. Polo, Stuhrling, Nautica, and most popular watch brands. Spring bars included for an easy switch.']","[""TX48318BK Size: 18 mm Features: -Watch band.-Material: Genuine calfskin.-Padded.-Regular length. Color/Finish: -Color: Black. Dimensions: -4.5'' H x 1.63'' W x 0.13'' D, 0.5 lb.""]",AMAZON FASHION,Voguestrap,-1
1,B0007GHCT4,5.0,Perfectly satisfied with this watch.  Attractive - easily worn - expansion band is perfect without pinching.,AFLLYUDRBJPI57I3DW5FGXISWEUA,2014-10-24,Timex Women's T26301 Kendall Circle Two-Tone Stainless Steel Expansion Band Watch,41.3,4.6,970,"['Clothing, Shoes & Jewelry', 'Women', 'Watches', 'Wrist Watches']","['Two-tone 9mm stainless steel expansion band fits up to 7.5-inch wrist circumference', 'White dial with partial Arabic numerals', 'Oval gold-tone 22mm brass case with mineral glass crystal', 'Quartz movement with analog display', 'Not Water Resistant']","['Our Main Street Collection is designed with simple elegance in mind and crafted with the quality you expect from Timex.', ""The sophisticated use of color patterns in the Timex Women's Classic Two-Tone Expansion Band Watch will add a refreshing element to your business and casual wardrobes. The timepiece is constructed with a stainless steel case, a gold-tone stationary stainless steel bezel, and a comfortable two-tone-stainless-steel expansion bracelet. A durable mineral window shields the silver-tone dial face, which features gold-tone hour indexes and Arabic numerals at three, six, nine, and 12 o'clock. The face also includes gold-tone watch hands and complementary minute indexes. This timepiece is powered by analog-quartz movement."", 'Casio', 'With the launch of its first watch in November 1974, Casio entered the wristwatch market at a time when the watch industry had just discovered digital technology. As a company with cutting-edge electronic technology developed for pocket calculators, Casio entered this field confident that it could develop timepieces that would lead the market.', 'Today, Casio is focusing its efforts on solar-powered radio-controlled watches: the built-in solar battery eliminates the nuisance of replacing batteries, atomic timekeeping means the users never have to reset the time. Recently, Casio launched a series of Bluetooth watches that sync to the users cell phone to automatically update the time. Casio is always moving time forward.', 'See more']",AMAZON FASHION,Timex,1
2,B000AS2IHA,1.0,"TERRIBLE slipper and wholly misleading!<br />Update: I have worn these a week - and they are NOT real fleece! My feet sweat and then get cold and the faux shearling wool seems to be some sort of man made material. I HATE THEM. Don't waste your money!!<br /><br />My original Review: Fabulous, cozy, REAL leather/shearling slippers are a GREAT buy at $20! Plushly thickly lined and perfectly warm - love them!! Bought light tan color and they are gorgeous. Only hope I can keep them from water stains or whatnot. Excellent buy!",AFJBCIDY52BFKDVIFSXHHFBQV4CA,2016-04-01,Tamarac by Slippers International Women's Fluff Slipper,,4.4,759,"['Clothing, Shoes & Jewelry', 'Deal of the Day: $9.99-$29.99 Slippers']","['100% Suede', 'Dyed Lamb Fur (Fur Origin: China)', 'Manmade sole', 'Heel measures approximately 0.5""', 'Platform measures approximately 0.5""', 'Lined slide-on slipper featuring shock-absorbing heel and waterproof breathable membrane to keep feet cool and dry']","[""The Fluff scuff from Slippers International is a versatile slipper that'll keep you warm, cozy, and thoroughly cushioned. Pad around the house, or take it outside: Either way, your comfort will be assured."", ""Slippers International is still very much a family business. The origin of their fine slipper-making dates back to their 1930's ancestors. Nearly 75 years later, they still maintain unsurpassed quality in their slipper making.""]",AMAZON FASHION,Tamarac by Slippers International,1
3,B000B55AFE,5.0,It had been a long time since I wore a watch since always having a cell phone with me.  Recently I was out camping and wished I had a watch.  It's a watch.  It's inexpensive.  Classic looking.  No frills.  I wished the watchband was a bit more substantial.  I'm glad I got it.,AEJ3HIYTHOK7RAUBYO3BKDF7WHZA,2012-10-06,Timex T41711Analog Quartz Camper Green Watch,,3.9,738,"['Clothing, Shoes & Jewelry', 'Women', 'Watches', 'Wrist Watches']","['Military-Inspired Black Dial with Full Arabic Numerals & 24-Hour Time', 'Green Nylon Strap', 'Durable and Lightweight Green Resin Case', 'Luminescent Hands', 'Case Lug Width: 19 mm', 'Water resistant to 30 m (99 ft): In general, withstands splashes or brief immersion in water, but not suitable for swimming']","[""You can tell a lot about a man by the watch he wears. This one is handsome and well-made. Plus it's a Timex, so you can feel good about it. The Timex Men's T41711 Camper Green Nylon Strap Watch features a black dial displaying white full Arabic numerals and 24-hour time. This watch is water resistant up to 30 meters (99 feet), so you can wear it when you swim, shower, or play water sports. The comfortable green nylon strap and light-weight resin case are crafted for durability. A reliable buckle ensures your watch remains on your wrist securely while partaking in outdoor activities."", 'Get ready to head to the great outdoors for a weekend of hiking or mountain biking with the Timex T41711 Camper watch. It has a medium-sized round, brown resin case that will be able to take a licking. It frames a black dial background with full Arabic numeral display, luminous dotted markers and hands (with seconds hand), and inset 24-hour marks. It also features a nylon grosgrain strap in olive, 10-year battery life, and water resistance to 30 meters (99 feet).', 'Casio', 'With the launch of its first watch in November 1974, Casio entered the wristwatch market at a time when the watch industry had just discovered digital technology. As a company with cutting-edge electronic technology developed for pocket calculators, Casio entered this field confident that it could develop timepieces that would lead the market.', 'Today, Casio is focusing its efforts on solar-powered radio-controlled watches: the built-in solar battery eliminates the nuisance of replacing batteries, atomic timekeeping means the users never have to reset the time. Recently, Casio launched a series of Bluetooth watches that sync to the users cell phone to automatically update the time. Casio is always moving time forward.', 'See more']",AMAZON FASHION,Timex,-1
4,B000B55AFE,3.0,This is a very small watch.,AGG5MBN2YSRNRREQPNTF7JKFYCLQ,2017-06-09,Timex T41711Analog Quartz Camper Green Watch,,3.9,738,"['Clothing, Shoes & Jewelry', 'Women', 'Watches', 'Wrist Watches']","['Military-Inspired Black Dial with Full Arabic Numerals & 24-Hour Time', 'Green Nylon Strap', 'Durable and Lightweight Green Resin Case', 'Luminescent Hands', 'Case Lug Width: 19 mm', 'Water resistant to 30 m (99 ft): In general, withstands splashes or brief immersion in water, but not suitable for swimming']","[""You can tell a lot about a man by the watch he wears. This one is handsome and well-made. Plus it's a Timex, so you can feel good about it. The Timex Men's T41711 Camper Green Nylon Strap Watch features a black dial displaying white full Arabic numerals and 24-hour time. This watch is water resistant up to 30 meters (99 feet), so you can wear it when you swim, shower, or play water sports. The comfortable green nylon strap and light-weight resin case are crafted for durability. A reliable buckle ensures your watch remains on your wrist securely while partaking in outdoor activities."", 'Get ready to head to the great outdoors for a weekend of hiking or mountain biking with the Timex T41711 Camper watch. It has a medium-sized round, brown resin case that will be able to take a licking. It frames a black dial background with full Arabic numeral display, luminous dotted markers and hands (with seconds hand), and inset 24-hour marks. It also features a nylon grosgrain strap in olive, 10-year battery life, and water resistance to 30 meters (99 feet).', 'Casio', 'With the launch of its first watch in November 1974, Casio entered the wristwatch market at a time when the watch industry had just discovered digital technology. As a company with cutting-edge electronic technology developed for pocket calculators, Casio entered this field confident that it could develop timepieces that would lead the market.', 'Today, Casio is focusing its efforts on solar-powered radio-controlled watches: the built-in solar battery eliminates the nuisance of replacing batteries, atomic timekeeping means the users never have to reset the time. Recently, Casio launched a series of Bluetooth watches that sync to the users cell phone to automatically update the time. Casio is always moving time forward.', 'See more']",AMAZON FASHION,Timex,-1
5,B000BW5656,3.0,I find the soles on these shoes to be to hard. They sound like a hard soled dress shoe when walking on hard surfaces. I'm going to replace the insoles to  see if that helps soften the blow when walking. I do like the looks.,AEKSR4POY3ODZLHANOURC4YU5ODA,2012-09-29,Propet Men's M3851 Wash & Wear Slip-On Sneaker,84.95,4.3,1061,"['Clothing, Shoes & Jewelry', 'Men', 'Shoes', 'Loafers & Slip-Ons']","['100% Leather andf Textile', 'Imported', 'Rubber sole', 'Washable leather upper']","[""Wash and Wear? Yes, that's right; the name says it all. Tagged with a 1,000 mile guarantee, this lightweight, soft leather sneaker will hug your foot with perfection, while the nylon collar allows for a fully flexible step. What's more, the multi-directional tread will give you traction on a number of surfaces, while the removable, shock-absorbing insole keeps you light on your feet from morning to night. The Wash and Wear makes the road ahead virtually endless."", ""Propet is a rapidly growing shoe company dedicated to making the worlds best walking shoes. Propet shoes are better walking shoes because they're designed and manufactured to be your most comfortable walking experience ever. Extra attention is paid to giving your foot support where it is needed, more cushy comfort where it counts and more room where your foot's moving parts need freedom when walking. The result has to be tried to be believed! Shouldn't you be wearing the world's best walking shoes?""]",AMAZON FASHION,Propét,-1
6,B000BW5656,5.0,Love these shoes. Very comfy.  I'm on my second pair.  I think they run 1/2 size small.  I usually take a 10 but take 10 1/2 in this shoe.  They are easy on and off and I like that.,AHRCL547MEQJRQQJ772NIKEMSYEQ,2010-07-29,Propet Men's M3851 Wash & Wear Slip-On Sneaker,84.95,4.3,1061,"['Clothing, Shoes & Jewelry', 'Men', 'Shoes', 'Loafers & Slip-Ons']","['100% Leather andf Textile', 'Imported', 'Rubber sole', 'Washable leather upper']","[""Wash and Wear? Yes, that's right; the name says it all. Tagged with a 1,000 mile guarantee, this lightweight, soft leather sneaker will hug your foot with perfection, while the nylon collar allows for a fully flexible step. What's more, the multi-directional tread will give you traction on a number of surfaces, while the removable, shock-absorbing insole keeps you light on your feet from morning to night. The Wash and Wear makes the road ahead virtually endless."", ""Propet is a rapidly growing shoe company dedicated to making the worlds best walking shoes. Propet shoes are better walking shoes because they're designed and manufactured to be your most comfortable walking experience ever. Extra attention is paid to giving your foot support where it is needed, more cushy comfort where it counts and more room where your foot's moving parts need freedom when walking. The result has to be tried to be believed! Shouldn't you be wearing the world's best walking shoes?""]",AMAZON FASHION,Propét,1
7,B000EBLRIY,3.0,I was confused with the Chinese sizing charts.,AGWB7WGWALAN25T35PUXZKCQ52LA,2017-08-16,Olive Drab Vintage Paratrooper Cargo Shorts 2163 Size 4X Large,,3.9,2,"['Clothing, Shoes & Jewelry', 'Men']",[],[],AMAZON FASHION,Army Universe,-1
8,B000FIP2T6,5.0,just beautiful,AHQ5P7BQUPVCBQA4YRULOU5PETDQ,2015-05-26,Bulova Women's 96T14 Crystal Watch,149.99,3.9,193,"['Clothing, Shoes & Jewelry', 'Women', 'Watches', 'Wrist Watches']","['Made in USA or Imported', 'Due to a recent redesign by Bulova, recently manufactured Bulova watches, including all watches sold and shipped by Amazon, will not feature the Bulova tuning fork logo on the watch face.', 'Mineral crystal', 'Stainless-steel case; mother-of-pearl dial', 'Quality Japanese-quartz movement']","['This Bulova dress watch is a dazzling accent in gleaming stainless steel and genuine Swarovski® crystals. The perfectly round polished steel case showcases a shimmering mother-of-pearl dial with petite Dauphine hands, a slender seconds hand, and silvertone dot markers. Sparkling round-cut crystals surround the dial and continue along the center link of the graceful steel bracelet, which features rounded and brightly polished outer links and a simple jewelry clasp. This Bulova watch offers precise Japanese quartz movement and is rated water resistant to 30 meters.', 'In 1875, a young Czech immigrant named Joseph Bulova set up shop in New York City, and a legendary American watch brand was born. Bulova was trained as a jeweler, and his expertise carried over into his watchmaking career, which began around 1911 with boudoir clocks and pocket watches, and soon evolved to include what was then one of the latest and most fashionable technological innovations: the wristwatch.', 'Bulova introduced its first line of wristwatches in 1919. The company grew and prospered, and soon early radio and television ads were declaring, ""America runs on Bulova time."" In the 1950s, continuing its legacy of innovation, Bulova introduced Accutron, the first electronic watch, and the first breakthrough in timekeeping technology in over 300 years. The Accutron timing mechanism was later adapted for use by NASA computers and a Bulova timer was even placed on the moon to control transmissions of data. Bulova timepieces have kept official time aboard Air Force One and have also served as official timepieces for U.S. Olympic teams.', 'Today, Bulova maintains its tradition of excellence in technology and design, offering a diverse collection of beautiful precision timepieces for every occasion.']",AMAZON FASHION,Bulova,1
9,B000GAWSFY,4.0,"A nice clean design, with analog and digital time, alarm, calendar.<br />Inexpensive and well-designed and reliable. I highly recommend it.",AHKFJPWPL7K6XBGE36UJMTVPNKWA,2013-05-10,Casio Men's AW48HE-8AV Black Ana-Digi Dual-Time Watch,26.08,4.2,290,"['Clothing, Shoes & Jewelry', 'Men', 'Watches', 'Wrist Watches']","['Imported', 'Square retro watch featuring digital and analog displays with rose-tone accents and day/date/month functions', '30 mm resin case with mineral dial window', 'Quartz movement with analog-digital display', 'Resin band with buckle closure', 'Water resistant to 50 m (165 ft): In general, suitable for short periods of recreational swimming, but not diving or snorkeling']","['The timeless style of an analog watch, combined with the functionality of a digital watch. This ana-digi combination allows you to see up to 2 times or the date with day of the week. With the added features of an alarm, stopwatch and hourly time signal, you’ll never lose track of time. Gray Casual Classic Watch with Analog and Digital Timekeeping.', ""Blending analog and digital functions, the Casio Men's Ana-Digi Dual Time Watch #AW48HE-8AV features a sleek gray dial, which is protected by a sturdy mineral dial window. Gold-tone index beads embellish the face, and a handy digital display allows a dual-time capability or day-and-date calendar. The black resin band comes equipped with a durable buckle closure. Other details include a stationary, resin-and-stainless steel bezel and 30-millimeter resin case. Fusing technological details with a sleek design, this handsome timepiece tells everyone that you value style. Powered by quartz movement, this watch is water resistant to 165 feet."", 'Casio', 'With the launch of its first watch in November 1974, Casio entered the wristwatch market at a time when the watch industry had just discovered digital technology. As a company with cutting-edge electronic technology developed for pocket calculators, Casio entered this field confident that it could develop timepieces that would lead the market.', 'Today, Casio is focusing its efforts on solar-powered radio-controlled watches: the built-in solar battery eliminates the nuisance of replacing batteries, atomic timekeeping means the users never have to reset the time. Recently, Casio launched a series of Bluetooth watches that sync to the users cell phone to automatically update the time. Casio is always moving time forward.', 'See more']",AMAZON FASHION,Casio,1
